,groups,X2dg,Am.Chl2,AMCL1,AmT,aza1,Aza2,bch,Bref.3,Bref4,BSO,cad3,Cadm2,Citric,CoCl,CoCl2,DPHE.3,dphe1,MelAB.1,MelAB2,MS,MSB3,msb4,msb5,NaBu,NaCl,NaLac,NaOthv,NaOxam,Rapa1,rapa2,Val
groups,1.0,-0.217487523641,-0.299186259967,-0.181464072042,-0.130086265338,-0.00751431121524,-0.00657420228914,-0.0889971753523,0.130838792301,-0.0546219964177,-0.00762002428563,0.0132045748316,0.00489026847124,-0.0616451865235,0.0535009283036,0.0826314549478,0.0368612612368,0.0144845062698,-0.225682428499,-0.3364291472,-0.190314346066,0.0791008002734,-0.0187400322102,-0.0507772306867,-0.197335967605,-0.167652060009,-0.0323282229838,0.213599685747,-0.176778072478,-0.155875189429,-0.28212929696,-0.0926753587054
X2dg,-0.217487523641,1.0,0.559578460804,0.516117484511,0.13834211129,0.245155211392,0.052093340232,0.088690535495,0.336471621035,0.349853515737,0.279631740582,0.134546988509,0.308107387201,0.0466917021215,0.144743682939,0.0823257688281,0.104836076794,0.326226911205,0.376784163633,0.486400463172,0.417957930289,0.105353437764,0.132337561322,0.0462839113916,0.0626755024094,0.264295984968,0.218809577407,-0.484900577054,0.110589274138,0.265207594594,0.429187319978,0.105755653376
Am.Chl2,-0.299186259967,0.559578460804,1.0,0.814580765829,0.160062762897,-0.175265695967,-0.191518344418,0.0479316006472,0.0163522318531,0.136631969526,0.216107478824,0.447056079705,0.587620232353,-0.215508262206,-0.032355612534,-0.102935629287,-0.101193778114,-0.0741805255478,0.239439453088,0.412360446248,0.710221494892,-0.216700438773,-0.159062315924,-0.193834310116,0.0182061131258,0.232243877814,-0.0506958583592,-0.0351144066454,-0.109301536775,0.112751341854,0.298338574035,-0.161301826269
AMCL1,-0.181464072042,0.516117484511,0.814580765829,1.0,0.458254702992,0.038748089972,0.18374261195,0.350614689001,0.120484322968,0.152609299654,0.430541121678,0.481327398541,0.590312746335,0.165230781967,0.403935803473,0.306391111688,0.177821676622,0.188497805982,0.465703994057,0.523899480952,0.654448071799,0.0748637406446,0.128668190718,0.129287170817,0.384078901587,0.514423410681,0.355208650282,0.15717127293,0.240619052812,0.393343071472,0.476164265007,0.227600486177
AmT,-0.130086265338,0.13834211129,0.160062762897,0.458254702992,1.0,0.202164389911,0.492200119789,0.796065638925,-0.138017287855,-0.0626109100246,0.691027023325,0.601191669874,0.517476374859,0.724829136393,0.838025282624,0.715360640486,0.594994489297,0.449895136945,0.58782024179,0.560893110673,0.392162509481,0.251012007494,0.399083936644,0.395912107282,0.787035761173,0.677641766838,0.470170812263,0.427490543599,0.761315188026,0.856549127344,0.806995988936,0.787478938143
aza1,-0.00751431121524,0.245155211392,-0.175265695967,0.038748089972,0.202164389911,1.0,0.744192875233,0.273196873251,0.209333949298,-0.0123282823249,0.228241299195,-0.146241265292,-0.16292515241,0.386204049191,0.164688696271,0.151510235661,0.290939741386,0.516551086117,0.351732182942,0.253009742419,-0.102722156058,0.376523897831,0.42013707123,0.438731510759,0.230157200104,0.172478012331,0.292333271692,-0.208729936412,0.294338523167,0.169670142188,0.213125233726,0.382114802105
Aza2,-0.00657420228914,0.052093340232,-0.191518344418,0.18374261195,0.492200119789,0.744192875233,1.0,0.408985994951,0.270541096299,0.0981757274958,0.41942999129,-0.0688387551794,-0.0861318674054,0.531766437704,0.474203793717,0.365538295828,0.402888412609,0.4784566315,0.449762042044,0.358347846555,-0.017319731727,0.405332123301,0.568995914353,0.532530108666,0.557397282352,0.420220307866,0.569613706226,0.135125732829,0.555225714924,0.3503161286,0.332361898632,0.652449602818
bch,-0.0889971753523,0.088690535495,0.0479316006472,0.350614689001,0.796065638925,0.273196873251,0.408985994951,1.0,-0.0455364832654,0.0166658010152,0.636613389347,0.414974833981,0.281108731552,0.808739938506,0.674363232243,0.671408829335,0.698530265279,0.641253588743,0.710144127421,0.580207351026,0.251372953652,0.272807062183,0.314653421436,0.344026704983,0.699318958505,0.671344557284,0.548340687001,0.446199251893,0.794663387231,0.727535109698,0.693227217267,0.711725176886
Bref.3,0.130838792301,0.336471621035,0.0163522318531,0.120484322968,-0.138017287855,0.209333949298,0.270541096299,-0.0455364832654,1.0,0.763374487915,0.180397131145,-0.42195950107,-0.247811258967,-0.10230020382,-0.0545267569992,-0.195891624022,-0.0151858899021,0.277916287782,0.253417786141,0.221008894203,0.0314214680022,0.211061627195,0.385294627109,0.27288047022,-0.000361198268865,0.172803020503,0.417152584362,-0.0561556521055,-0.0214092852377,-0.185756364918,-0.0404277272576,0.0817388047304
Bref4,-0.0546219964177,0.349853515737,0.136631969526,0.152609299654,-0.0626109100246,-0.0123282823249,0.0981757274958,0.0166658010152,0.763374487915,1.0,0.232553945474,-0.283244756434,-0.177602673071,0.00427849910154,0.018530193067,-0.155910988126,0.0674011520241,0.281604479707,0.333129844696,0.442875583061,0.104465213731,0.0947755951925,0.274308924458,0.23500555443,0.022085014801,0.237281242137,0.383522885822,-0.0461267616024,0.139566838646,-0.098936766302,0.138696560019,0.138759674055
